,id,AgeAbove35,Accessibility,EdLevel,Employment,Gender,MentalHealth,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,HaveWorkedWith,ComputerSkills,Employed
31,31,1,False,Other,1,Man,False,Dev,31,17,Canada,95295.0,"['C#', 'SQL', 'TypeScript', 'Docker', 'Kubernetes', 'ASP.NET Core ', 'AWS', 'Microsoft Azure', 'Elasticsearch', 'Microsoft SQL Server']",10,1
32,32,0,False,PhD,1,Man,False,Dev,18,1,United States of America,100000.0,"['Bash/Shell', 'C#', 'HTML/CSS', 'Julia', 'Matlab', 'Python', 'Git', 'Google Cloud Platform']",8,0
33,33,1,False,Undergraduate,1,Man,False,Dev,26,14,United Kingdom of Great Britain and Northern Ireland,61398.0,"['C#', 'Clojure', 'Go', 'JavaScript', 'Python', 'SQL', 'Git', 'jQuery', 'Microsoft Azure', 'Microsoft SQL Server']",10,1
34,34,0,False,NoHigherEd,1,Man,False,NotDev,20,10,Netherlands,108098.0,"['Bash/Shell', 'C#', 'JavaScript', 'Node.js', 'PowerShell', 'Python', 'TypeScript', 'Docker', 'Git', 'Kubernetes', 'Puppet', 'Terraform', 'Unity 3D', 'ASP.NET', 'ASP.NET Core ', 'jQuery', 'React.js']",17,1
35,35,0,False,Undergraduate,1,Man,False,Dev,10,4,Poland,27336.0,"['HTML/CSS', 'JavaScript', 'Node.js', 'PHP', 'SQL', 'TypeScript', 'Docker', 'Git', 'Terraform', 'Yarn', 'Laravel', 'React.js', 'AWS', 'DigitalOcean', 'Google Cloud Platform', 'Heroku', 'Firebase', 'MongoDB', 'MySQL', 'PostgreSQL', 'SQLite']",21,1
36,36,0,False,Master,1,Man,False,Dev,10,7,Sweden,5216.0,"['Scala', 'Git', 'Google Cloud Platform', 'MongoDB']",4,0
37,37,0,False,Master,0,Man,False,Dev,8,3,France,151337.0,"['Dart', 'JavaScript', 'Node.js', 'Docker', 'Git', 'Django', 'Vue.js', 'Google Cloud Platform', 'Firebase', 'PostgreSQL', 'SQLite']",11,0
38,38,0,False,Other,0,Man,False,Dev,18,8,Germany,24648.0,"['C#', 'HTML/CSS', 'JavaScript', 'PHP', 'Docker', 'Git', 'Angular', 'Angular.js', 'ASP.NET', 'ASP.NET Core ', 'jQuery', 'AWS', 'Microsoft Azure', 'MariaDB', 'Microsoft SQL Server', 'MongoDB', 'PostgreSQL', 'SQLite']",18,1
39,39,0,False,Undergraduate,1,Man,False,Dev,4,1,Pakistan,7788.0,"['Python', 'Docker', 'Git', 'Django', 'AWS']",5,0
40,40,1,False,Master,1,Man,False,Dev,38,26,Switzerland,134176.0,"['Bash/Shell', 'C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'SQL', 'TypeScript', 'Git', 'Angular', 'ASP.NET', 'ASP.NET Core ', 'jQuery', 'Microsoft Azure', 'Microsoft SQL Server']",14,1
41,41,0,False,Undergraduate,1,Man,False,Dev,10,3,United Kingdom of Great Britain and Northern Ireland,64630.0,"['Go', 'JavaScript', 'Node.js', 'PHP', 'TypeScript', 'Git', 'React.js', 'Microsoft SQL Server']",8,1
42,42,0,False,Undergraduate,1,Man,False,Dev,10,8,Spain,38915.0,"['HTML/CSS', 'Java', 'JavaScript', 'Node.js', 'Python', 'SQL', 'Docker', 'Git', 'jQuery', 'Spring', 'Microsoft SQL Server', 'MongoDB', 'PostgreSQL']",13,1
43,43,0,False,Undergraduate,1,Man,False,Dev,8,3,Nigeria,4944.0,"['HTML/CSS', 'JavaScript', 'Python', 'Docker', 'Angular.js', 'Django', 'React.js', 'DigitalOcean', 'MySQL', 'PostgreSQL', 'Redis']",11,0
44,44,0,False,Other,0,Man,False,Dev,6,1,Germany,29508.0,"['Bash/Shell', 'C#', 'Dart', 'Go', 'HTML/CSS', 'JavaScript', 'Node.js', 'PowerShell', 'Python', 'SQL', 'TypeScript', 'Ansible', 'Docker', 'Git', 'Kubernetes', 'Terraform', 'Xamarin', 'ASP.NET', 'ASP.NET Core ', 'Express', 'Flask', 'React.js', 'AWS', 'Microsoft Azure', 'Couchbase', 'DynamoDB', 'Elasticsearch', 'Microsoft SQL Server', 'MongoDB', 'MySQL', 'PostgreSQL', 'Redis', 'SQLite']",33,1
45,45,0,False,Master,1,Man,False,Dev,13,2,Italy,14268.0,"['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'PHP', 'Python', 'Scala', 'SQL', 'VBA', 'Git', 'jQuery', 'React.js', 'Vue.js', 'AWS', 'MySQL', 'Oracle', 'PostgreSQL']",17,1
46,46,0,False,Undergraduate,1,Man,False,Dev,10,2,Netherlands,43239.0,"['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'Node.js', 'Python', 'SQL', 'TypeScript', 'Docker', 'Git', 'Angular', 'React.js', 'Spring', 'MariaDB', 'MySQL', 'PostgreSQL']",17,1
47,47,0,False,NoHigherEd,1,Man,False,Dev,3,0,Albania,48.0,"['HTML/CSS', 'JavaScript', 'Node.js', 'Git', 'Express', 'React.js', 'Heroku', 'MongoDB']",8,0
48,48,0,False,Undergraduate,1,Man,False,Dev,12,6,United States of America,140000.0,"['C#', 'HTML/CSS', 'JavaScript', 'SQL', 'VBA', 'Angular.js', 'ASP.NET', 'ASP.NET Core ', 'jQuery', 'Microsoft Azure', 'DynamoDB', 'Elasticsearch', 'Microsoft SQL Server', 'SQLite']",14,1
49,49,0,False,Other,1,Man,False,Dev,6,4,Bangladesh,14124.0,"['C', 'C#', 'C++', 'Dart', 'HTML/CSS', 'Java', 'JavaScript', 'PHP', 'Python', 'Git', 'Kubernetes', 'Xamarin', 'Yarn', 'jQuery', 'Laravel', 'React.js', 'Symfony', 'Vue.js', 'AWS', 'DigitalOcean', 'Heroku', 'Firebase', 'MongoDB', 'MySQL', 'Redis', 'SQLite']",26,1
50,50,1,False,Other,1,Man,False,NotDev,6,5,Israel,101916.0,"['Bash/Shell', 'Python', 'Docker', 'Git', 'Puppet', 'AWS', 'MySQL']",7,0
51,51,0,False,Master,0,Man,False,Dev,17,8,Viet Nam,21000.0,"['Kotlin', 'Objective-C', 'SQL', 'Swift', 'Git', 'AWS', 'Google Cloud Platform']",7,0
52,52,0,False,Undergraduate,1,Man,False,Dev,7,1,United States of America,54000.0,"['Bash/Shell', 'C#', 'HTML/CSS', 'JavaScript', 'TypeScript', 'Git', 'ASP.NET', 'Vue.js', 'AWS', 'Microsoft SQL Server']",10,1
53,53,1,False,Master,0,Man,False,Dev,27,16,United States of America,200000.0,"['C#', 'HTML/CSS', 'JavaScript', 'Node.js', 'PHP', 'PowerShell', 'SQL', 'Git', 'Angular', 'Angular.js', 'ASP.NET', 'ASP.NET Core ', 'jQuery', 'Vue.js', 'Microsoft Azure', 'Elasticsearch', 'Microsoft SQL Server', 'MySQL', 'SQLite']",19,1
54,54,0,False,Undergraduate,1,Man,False,Dev,17,5,Netherlands,36324.0,"['Bash/Shell', 'C', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'PHP', 'Python', 'Docker', 'Git', 'Kubernetes', 'Puppet', 'Unity 3D', 'Angular', 'jQuery', 'Laravel', 'React.js', 'Symfony', 'AWS', 'DigitalOcean', 'Elasticsearch', 'MySQL', 'SQLite']",23,1
55,55,0,False,Undergraduate,1,Man,False,Dev,1,3,United Kingdom of Great Britain and Northern Ireland,38778.0,"['C#', 'Java', 'JavaScript', 'Python', 'SQL', 'Ansible', 'Chef', 'Docker', 'Terraform', 'Unity 3D', 'ASP.NET', 'ASP.NET Core ', 'Django', 'AWS', 'Microsoft Azure', 'Elasticsearch', 'MongoDB', 'MySQL', 'PostgreSQL', 'SQLite']",20,1
56,56,0,False,Other,0,Man,False,Dev,5,3,Poland,48600.0,"['Go', 'JavaScript', 'Python', 'SQL', 'TypeScript', 'VBA', 'Ansible', 'Docker', 'Git', 'Yarn', 'Django', 'FastAPI', 'Flask', 'Gatsby', 'jQuery', 'React.js', 'AWS', 'Google Cloud Platform', 'Microsoft Azure', 'Elasticsearch', 'MariaDB', 'Microsoft SQL Server', 'MongoDB', 'MySQL', 'Oracle', 'PostgreSQL', 'Redis', 'SQLite']",28,1
57,57,1,False,Master,0,Man,False,Dev,30,25,Netherlands,59454.0,"['C#', 'Delphi', 'JavaScript', 'Node.js', 'TypeScript', 'Git', 'Angular', 'ASP.NET Core ', 'Microsoft Azure', 'Microsoft SQL Server']",10,1
58,58,0,False,Undergraduate,1,Woman,False,Dev,4,2,Romania,14652.0,"['JavaScript', 'Swift', 'TypeScript', 'Git', 'React.js', 'Google Cloud Platform', 'Firebase', 'PostgreSQL']",8,0
59,59,1,False,Undergraduate,1,Man,False,Dev,38,34,United States of America,200000.0,"['C#', 'F#', 'SQL', 'Git', 'Microsoft SQL Server']",5,0
60,60,0,False,Master,1,Man,False,Dev,27,11,Germany,97288.0,"['Bash/Shell', 'C', 'Dart', 'Go', 'HTML/CSS', 'JavaScript', 'Node.js', 'PHP', 'Python', 'TypeScript', 'Docker', 'Git', 'Kubernetes', 'Yarn', 'React.js', 'AWS', 'DynamoDB', 'Elasticsearch', 'MongoDB', 'MySQL', 'Redis', 'SQLite']",22,1
61,61,0,False,Other,1,Woman,False,Dev,15,5,Russian Federation,75492.0,"['C++', 'Java', 'Kotlin', 'Objective-C', 'Swift', 'SQLite']",6,0
62,62,0,False,Master,0,Man,False,NotDev,2,2,Sri Lanka,36000.0,"['SQL', 'Git', 'jQuery', 'Google Cloud Platform', 'SQLite']",5,0
63,63,0,False,Master,1,Man,False,Dev,7,5,France,49725.0,"['JavaScript', 'Node.js', 'PHP', 'TypeScript', 'Docker', 'Git', 'Angular', 'Express', 'Laravel', 'MariaDB', 'MongoDB', 'MySQL']",12,1
64,64,1,False,Undergraduate,1,Man,False,Dev,31,25,United Kingdom of Great Britain and Northern Ireland,70047.0,"['C#', 'HTML/CSS', 'PowerShell', 'SQL', 'Git', 'Xamarin', 'ASP.NET', 'ASP.NET Core ', 'jQuery', 'Microsoft Azure', 'Microsoft SQL Server']",11,1
65,65,0,False,Undergraduate,1,Man,False,NotDev,15,4,United States of America,98500.0,"['Bash/Shell', 'C', 'C++', 'Go', 'HTML/CSS', 'Java', 'JavaScript', 'Matlab', 'Node.js', 'Python', 'Scala', 'SQL', 'TypeScript', 'Unity 3D', 'Unreal Engine', 'Django', 'FastAPI', 'Flask', 'jQuery', 'React.js', 'MongoDB', 'MySQL', 'SQLite']",23,1
66,66,0,False,Undergraduate,0,Man,False,Dev,20,7,India,2340.0,"['HTML/CSS', 'JavaScript', 'Node.js', 'PHP', 'PowerShell', 'Python', 'SQL', 'Git', 'Angular', 'Express', 'Gatsby', 'jQuery', 'React.js', 'Heroku', 'Firebase', 'MariaDB', 'MongoDB', 'MySQL', 'Redis']",19,1
67,67,1,False,Undergraduate,1,Man,False,Dev,41,24,United States of America,115000.0,"['C++', 'HTML/CSS', 'JavaScript', 'Node.js', 'Perl', 'PHP', 'SQL', 'Git', 'ASP.NET', 'Microsoft Azure', 'SQLite']",11,0
68,68,0,False,Master,1,Man,False,NotDev,9,6,Switzerland,43908.0,"['JavaScript', 'Python', 'SQL', 'Docker', 'Git', 'Django', 'jQuery', 'Google Cloud Platform', 'MariaDB', 'MongoDB', 'MySQL', 'PostgreSQL', 'SQLite']",13,1
69,69,0,False,Undergraduate,1,Man,False,Dev,8,7,Lithuania,103408.0,"['C++', 'Go', 'JavaScript', 'Node.js', 'Python', 'TypeScript', 'Docker', 'Git', 'Kubernetes', 'React.js', 'AWS', 'DynamoDB', 'Elasticsearch', 'MongoDB', 'Redis']",15,1
70,70,0,False,Master,1,Man,False,Dev,13,8,Ukraine,42000.0,"['C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'TypeScript', 'Git', 'Yarn', 'Angular', 'Angular.js', 'ASP.NET', 'ASP.NET Core ', 'jQuery', 'AWS', 'Google Cloud Platform', 'Microsoft Azure', 'Microsoft SQL Server', 'MongoDB', 'Redis']",18,1
71,71,0,False,Undergraduate,1,Man,False,NotDev,7,4,Israel,105072.0,"['Assembly', 'Python']",2,0
72,72,1,False,PhD,1,Man,False,Dev,42,22,United Kingdom of Great Britain and Northern Ireland,71093.0,['Matlab'],1,0
73,73,1,False,Undergraduate,1,Man,False,Dev,8,4,Croatia,17412.0,"['JavaScript', 'PHP', 'SQL', 'React.js', 'Symfony', 'MySQL']",6,0
74,74,0,False,Other,0,Man,False,Dev,4,2,Georgia,14844.0,"['HTML/CSS', 'JavaScript', 'Python', 'SQL', 'Git', 'Flask', 'DigitalOcean', 'Heroku', 'SQLite']",9,0
75,75,1,False,Master,1,Man,False,NotDev,3,3,Canada,98321.0,"['Python', 'R', 'Git', 'AWS', 'Microsoft SQL Server']",5,0
76,76,1,False,Other,1,Man,False,Dev,16,14,Italy,54049.0,"['C', 'C#', 'C++', 'Java', 'Kotlin', 'PHP', 'SQL', 'Docker', 'Git', 'Kubernetes', 'Spring', 'Microsoft Azure', 'IBM DB2', 'Microsoft SQL Server', 'MySQL', 'Oracle', 'PostgreSQL']",17,1
77,77,1,False,Master,0,Man,False,Dev,26,24,Denmark,115784.0,"['Bash/Shell', 'Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'Ruby', 'SQL', 'TypeScript', 'Docker', 'Git', 'Angular', 'Spring', 'Google Cloud Platform', 'Oracle', 'PostgreSQL']",15,1
78,78,0,False,Undergraduate,1,Man,False,Dev,10,6,Russian Federation,56616.0,"['Go', 'JavaScript', 'Python', 'SQL', 'Docker', 'Git', 'DigitalOcean', 'Cassandra', 'Elasticsearch', 'PostgreSQL', 'Redis']",11,0
79,79,0,False,Undergraduate,1,Man,False,Dev,14,11,Ireland,69183.0,"['Groovy', 'Java', 'Kotlin', 'Git', 'AWS', 'Google Cloud Platform', 'SQLite']",7,0
80,80,1,False,Undergraduate,1,Man,False,Dev,24,18,Greece,25944.0,"['Java', 'JavaScript', 'SQL', 'Git', 'jQuery', 'Spring', 'IBM Cloud or Watson', 'Microsoft Azure', 'IBM DB2', 'MariaDB', 'Microsoft SQL Server', 'MySQL']",12,1
81,81,1,False,Other,1,Man,False,Dev,35,25,United Kingdom of Great Britain and Northern Ireland,60752.0,"['C', 'C++', 'HTML/CSS', 'JavaScript']",4,0
82,82,1,False,Undergraduate,1,Man,False,Dev,6,3,Poland,16704.0,"['C', 'C++', 'Delphi', 'Go', 'HTML/CSS', 'Perl', 'Python', 'R', 'Ruby', 'Rust', 'Docker', 'Git', 'Terraform', 'Django', 'Flask', 'AWS', 'DynamoDB', 'MariaDB', 'MongoDB', 'MySQL', 'PostgreSQL', 'SQLite']",22,0
83,83,1,False,Undergraduate,1,Man,False,Dev,23,15,Romania,81420.0,"['C#', 'HTML/CSS', 'JavaScript', 'PHP', 'SQL', 'Docker', 'Git', 'Yarn', 'jQuery', 'React.js', 'Symfony', 'Vue.js', 'AWS', 'Elasticsearch', 'MariaDB', 'MySQL', 'PostgreSQL', 'Redis']",18,0
84,84,0,False,Undergraduate,1,Man,False,Dev,7,3,Lebanon,14280.0,"['Java', 'TypeScript', 'Git', 'Angular', 'Spring']",5,0
85,85,1,False,Master,1,Man,False,Dev,20,13,United Kingdom of Great Britain and Northern Ireland,84019.0,"['HTML/CSS', 'Java', 'JavaScript', 'Node.js', 'TypeScript', 'Yarn', 'Angular', 'Express', 'React.js', 'Vue.js', 'AWS', 'DigitalOcean', 'MongoDB', 'MySQL', 'PostgreSQL']",15,1
86,86,1,False,Undergraduate,1,Man,False,Dev,20,18,Bahrain,63648.0,"['C', 'C#', 'C++', 'HTML/CSS', 'JavaScript', 'SQL', 'TypeScript', 'Docker', 'Git', 'ASP.NET', 'ASP.NET Core ', 'jQuery', 'Vue.js', 'IBM DB2', 'Microsoft SQL Server', 'MySQL', 'Oracle', 'PostgreSQL', 'Redis', 'SQLite']",20,1
87,87,0,False,Undergraduate,1,Man,False,Dev,5,1,Egypt,4620.0,"['Assembly', 'C#', 'C++', 'HTML/CSS', 'JavaScript', 'Python', 'R', 'TypeScript', 'Git', 'Angular', 'Angular.js', 'jQuery', 'React.js', 'DigitalOcean', 'Microsoft SQL Server', 'PostgreSQL', 'SQLite']",17,1
88,88,0,False,Master,1,Man,False,Dev,10,9,United States of America,70000.0,"['C', 'C++', 'JavaScript', 'Objective-C', 'Python', 'Swift', 'TypeScript', 'Docker', 'Git', 'Flask', 'React.js', 'AWS', 'DynamoDB', 'PostgreSQL', 'Redis']",15,0
89,89,0,False,Other,1,Man,False,Dev,12,7,Ireland,91883.0,"['Bash/Shell', 'Go', 'HTML/CSS', 'JavaScript', 'Ruby', 'SQL', 'TypeScript', 'Chef', 'Docker', 'Git', 'Terraform', 'Angular', 'React.js', 'Ruby on Rails', 'AWS', 'DigitalOcean', 'Google Cloud Platform', 'MySQL', 'PostgreSQL', 'Redis']",20,0
90,90,0,False,Master,1,Man,False,Dev,3,2,Russian Federation,30192.0,"['JavaScript', 'Python', 'Docker', 'Git', 'Flask', 'MariaDB', 'PostgreSQL']",7,0
91,91,0,False,Undergraduate,1,Man,False,Dev,10,5,United States of America,90000.0,"['C#', 'HTML/CSS', 'SQL', 'TypeScript', 'Git', 'Angular', 'Angular.js', 'ASP.NET', 'ASP.NET Core ', 'jQuery', 'Microsoft Azure', 'MySQL']",12,1
92,92,1,False,Undergraduate,1,Man,False,Dev,20,20,Colombia,21600.0,"['C#', 'HTML/CSS', 'JavaScript', 'Node.js', 'PHP', 'Python', 'SQL', 'TypeScript', 'VBA', 'Docker', 'Git', 'Angular', 'ASP.NET', 'ASP.NET Core ', 'jQuery', 'React.js', 'Microsoft Azure', 'MariaDB', 'Microsoft SQL Server', 'MySQL']",20,1
93,93,0,False,Undergraduate,1,Man,False,Dev,15,6,Netherlands,50592.0,"['C#', 'Docker', 'Unity 3D', 'Xamarin', 'ASP.NET', 'ASP.NET Core ', 'Microsoft Azure', 'Microsoft SQL Server', 'SQLite']",9,1
94,94,0,False,Undergraduate,1,Man,False,Dev,10,1,India,1512.0,"['C', 'C#', 'C++', 'HTML/CSS', 'JavaScript', 'Node.js', 'PHP', 'Python', 'R', 'SQL', 'TypeScript', 'Docker', 'Git', 'Yarn', 'Angular', 'Angular.js', 'Django', 'jQuery', 'Laravel', 'React.js', 'Symfony', 'AWS', 'DigitalOcean', 'Google Cloud Platform', 'Heroku', 'IBM Cloud or Watson', 'Firebase', 'MariaDB', 'Microsoft SQL Server', 'MongoDB', 'MySQL', 'SQLite']",32,1
95,95,0,False,Master,1,Woman,False,NotDev,9,2,United States of America,193000.0,"['Ansible', 'Docker', 'Git', 'AWS', 'Microsoft SQL Server']",5,0
96,96,0,False,Undergraduate,1,Man,False,Dev,9,4,Greece,28536.0,"['Bash/Shell', 'HTML/CSS', 'JavaScript', 'Node.js', 'SQL', 'Docker', 'Git', 'Kubernetes', 'Yarn', 'Express', 'React.js', 'Couchbase', 'Elasticsearch', 'MariaDB']",14,0
97,97,1,False,Master,1,Man,False,NotDev,4,2,Australia,96874.0,"['C#', 'HTML/CSS', 'Matlab', 'Python', 'R', 'SQL', 'Git', 'Django', 'Flask', 'AWS', 'Microsoft Azure', 'MySQL', 'PostgreSQL', 'SQLite']",14,0
98,98,1,False,Undergraduate,1,Man,False,Dev,24,14,United Kingdom of Great Britain and Northern Ireland,77556.0,"['Bash/Shell', 'Java', 'JavaScript', 'Node.js', 'Python', 'TypeScript', 'Docker', 'Git', 'Kubernetes', 'Terraform', 'AWS', 'DynamoDB', 'MySQL', 'PostgreSQL', 'Redis']",15,1
99,99,1,False,Undergraduate,0,Man,False,Dev,21,14,United Kingdom of Great Britain and Northern Ireland,103408.0,"['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'Node.js', 'Objective-C', 'PHP', 'SQL', 'Swift', 'TypeScript', 'Docker', 'Git', 'Yarn', 'Express', 'React.js', 'AWS', 'MySQL', 'SQLite']",19,1
